class,classifier,f1_score,precision,recall,support
C1006,RF,0.0,0.0,0.0,2.0
C1016,RF,0.67,1.0,0.5,2.0
C1017,RF,0.0,0.0,0.0,2.0
C1019,RF,0.0,0.0,0.0,2.0
C1025,RF,0.0,0.0,0.0,2.0
C1029,RF,0.4,0.25,1.0,2.0
C1040,RF,0.29,0.2,0.5,2.0
C1044,RF,0.0,0.0,0.0,2.0
C1047,RF,0.67,0.5,1.0,2.0
C1054,RF,0.0,0.0,0.0,3.0
C1055,RF,0.0,0.0,0.0,2.0
C1070,RF,0.0,0.0,0.0,2.0
C119,RF,0.0,0.0,0.0,2.0
C12,RF,0.67,0.5,1.0,2.0
C120,RF,0.0,0.0,0.0,3.0
C121,RF,0.0,0.0,0.0,2.0
C138,RF,0.33,0.5,0.25,4.0
C14,RF,0.4,0.5,0.33,3.0
C144,RF,0.67,1.0,0.5,2.0
C150,RF,0.0,0.0,0.0,2.0
C153,RF,0.0,0.0,0.0,2.0
C154,RF,0.0,0.0,0.0,2.0
C164,RF,0.0,0.0,0.0,2.0
C171,RF,0.0,0.0,0.0,2.0
C172,RF,0.0,0.0,0.0,2.0
C178,RF,0.4,0.29,0.67,3.0
C181,RF,0.33,0.25,0.5,2.0
C182,RF,0.0,0.0,0.0,2.0
C184,RF,0.0,0.0,0.0,2.0
C185,RF,0.4,0.29,0.62,8.0
C187,RF,0.57,0.5,0.67,3.0
C188,RF,0.67,0.5,1.0,2.0
C19,RF,0.0,0.0,0.0,2.0
C201,RF,0.0,0.0,0.0,2.0
C207,RF,0.67,0.5,1.0,2.0
C208,RF,0.0,0.0,0.0,2.0
C236,RF,0.0,0.0,0.0,2.0
C246,RF,0.0,0.0,0.0,3.0
C25,RF,0.44,0.33,0.67,3.0
C254,RF,0.25,0.2,0.33,3.0
C262,RF,0.4,0.33,0.5,2.0
C267,RF,0.0,0.0,0.0,3.0
C280,RF,0.8,1.0,0.67,3.0
C293,RF,0.47,0.44,0.5,8.0
C295,RF,0.0,0.0,0.0,3.0
C315,RF,0.35,0.33,0.38,8.0
C319,RF,0.0,0.0,0.0,2.0
C34,RF,0.22,0.2,0.25,4.0
C343,RF,0.0,0.0,0.0,2.0
C344,RF,0.6,0.5,0.75,4.0
C347,RF,0.0,0.0,0.0,2.0
C349,RF,0.33,0.33,0.33,6.0
C354,RF,0.18,0.25,0.14,7.0
C355,RF,0.0,0.0,0.0,2.0
C359,RF,0.0,0.0,0.0,4.0
C365,RF,0.5,0.5,0.5,2.0
C371,RF,0.0,0.0,0.0,2.0
C372,RF,0.25,0.2,0.33,6.0
C384,RF,0.44,0.4,0.5,4.0
C386,RF,0.0,0.0,0.0,3.0
C390,RF,0.0,0.0,0.0,4.0
C396,RF,0.67,1.0,0.5,2.0
C398,RF,0.0,0.0,0.0,2.0
C412,RF,0.0,0.0,0.0,2.0
C422,RF,0.0,0.0,0.0,3.0
C425,RF,0.0,0.0,0.0,2.0
C432,RF,0.0,0.0,0.0,3.0
C438,RF,0.25,0.17,0.5,2.0
C439,RF,0.67,0.6,0.75,4.0
C440,RF,0.57,0.5,0.67,3.0
C443,RF,0.8,1.0,0.67,3.0
C445,RF,0.37,0.27,0.6,5.0
C448,RF,0.0,0.0,0.0,3.0
C458,RF,0.4,0.5,0.33,3.0
C461,RF,0.0,0.0,0.0,3.0
C472,RF,0.67,0.6,0.75,4.0
C474,RF,0.8,0.67,1.0,2.0
C475,RF,0.0,0.0,0.0,2.0
C484,RF,0.4,1.0,0.25,4.0
C488,RF,0.0,0.0,0.0,2.0
C492,RF,0.0,0.0,0.0,3.0
C495,RF,0.4,0.33,0.5,2.0
C50,RF,0.0,0.0,0.0,2.0
C509,RF,0.0,0.0,0.0,2.0
C518,RF,0.25,0.25,0.25,4.0
